x y z m s
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.05 15 44
-0.01 -0.05 -0.05 15 44
-0.01 -0.05 -0.04 15 44
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.04 15 45
-0.01 -0.05 -0.05 15 45
-0.01 -0.05 -0.05 15 45
-0.01 -0.05 -0.05 15 45
-0.01 -0.05 -0.05 15 45
-0.01 -0.05 -0.05 15 45
-0.01 -0.05 -0.05 15 45
-0.01 -0.05 -0.05 15 45
-0 -0.05 -0.05 15 45
-0 -0.05 -0.04 15 45
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 46
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.05 -0.04 15 47
-0 -0.06 -0.04 15 47
0 -0.05 -0.04 15 47
0 -0.05 -0.04 15 47
0 -0.05 -0.04 15 47
0 -0.05 -0.04 15 47
0 -0.05 -0.04 15 47
0 -0.05 -0.04 15 47
0 -0.05 -0.04 15 48
0 -0.05 -0.04 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.03 15 48
0 -0.05 -0.04 15 48
0 -0.05 -0.04 15 48
0 -0.05 -0.04 15 48
0 -0.05 -0.04 15 48
0 -0.05 -0.03 15 48
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.06 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 49
-0 -0.05 -0.03 15 50
-0 -0.05 -0.03 15 50
-0 -0.05 -0.03 15 50
0 -0.05 -0.03 15 50
0 -0.05 -0.03 15 50
0 -0.06 -0.03 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.06 -0.02 15 50
0 -0.06 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.06 -0.02 15 50
0 -0.06 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 50
0 -0.05 -0.02 15 51
0 -0.05 -0.02 15 51
0 -0.05 -0.02 15 51
0 -0.05 -0.02 15 51
0 -0.05 -0.02 15 51
0 -0.05 -0.02 15 51
0 -0.05 -0.02 15 51
0 -0.05 -0.02 15 51
0.01 -0.05 -0.02 15 51
0.01 -0.05 -0.02 15 51
0.01 -0.05 -0.02 15 51
0.01 -0.05 -0.02 15 51
0.01 -0.05 -0.02 15 51
0.01 -0.05 -0.02 15 51
0.01 -0.05 -0.01 15 51
0.01 -0.05 -0.01 15 51
0.01 -0.05 -0.01 15 51
0.01 -0.05 -0.01 15 51
0.01 -0.05 -0.01 15 51
0.01 -0.05 -0.01 15 51
0.01 -0.05 -0.01 15 52
0.01 -0.05 -0.01 15 52
0.01 -0.05 -0.01 15 52
0.01 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.05 -0.01 15 52
0.02 -0.04 -0.01 15 52
0.02 -0.04 -0.01 15 52
0.02 -0.04 -0.01 15 52
0.02 -0.04 -0.01 15 52
0.02 -0.04 -0.01 15 52
0.02 -0.04 -0.01 15 52
0.02 -0.04 -0.01 15 52
0.02 -0.04 -0.01 15 53
0.02 -0.04 -0.01 15 53
0.02 -0.04 -0.01 15 53
0.02 -0.04 -0.01 15 53
0.02 -0.04 -0.02 15 53
0.02 -0.03 -0.02 15 53
0.02 -0.03 -0.02 15 53
0.02 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.03 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 53
0.03 -0.02 -0.02 15 54
0.03 -0.02 -0.02 15 54
0.03 -0.02 -0.02 15 54
0.03 -0.01 -0.02 15 54
0.03 -0.01 -0.02 15 54
0.03 -0.01 -0.01 15 54
0.03 -0.01 -0.01 15 54
0.03 -0.01 -0.01 15 54
0.03 -0.01 -0.01 15 54
0.03 -0 -0.01 15 54
0.03 -0 -0.01 15 54
0.03 -0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 54
0.03 0.01 -0.01 15 55
0.03 0.01 -0.01 15 55
0.03 0.01 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.02 -0.01 15 55
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0.01 15 56
0.03 0.03 -0 15 56
0.03 0.03 0 15 56
